image_number,object_number,path_name_tif,file_name_tif,center_x,center_y,bounding_box_min_x,bounding_box_max_x,bounding_box_min_y,bounding_box_max_y,bounding_box_area,orientation,major_axis_length,minor_axis_length,area,convex_area,perimeter,eccentricity,form_factor,compactness
8,19,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,826.7229335,681.8160347999999,773,875,626,748,12444,24.28534614,129.9909134,85.72506404,8045,9249,410.81832589999993,0.751731176,0.599013066,1.6694126669999998
8,20,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,480.8799846,658.0996428,416,543,608,727,15113,-72.71498813,128.0968291,108.24555330000001,10357,11097,421.88939369999997,0.534720257,0.731217582,1.367581995
8,21,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,245.60212009999998,676.4111307000001,205,291,631,725,8084,18.08178974,92.32638489,78.71433698,5660,5839,289.94826820000003,0.522619565,0.8460290140000001,1.18199256
8,22,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,653.6688755,684.2136036,610,699,645,727,7298,-60.36190922,93.39792362,70.91528008,5131,5370,280.391919,0.650762768,0.82012659,1.219323958
8,23,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,1237.672751,706.4167919,1202,1275,668,751,6059,17.82654174,85.0746457,70.62109996,4657,4841,264.2792206,0.557603414,0.837895904,1.193465675
8,24,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,1171.191923,721.5151901,1129,1215,679,763,7224,5.584394621,85.66604691,82.98441205,5497,5795,289.27922060000003,0.24824748600000002,0.825469675,1.21143154
8,25,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,443.7663591,743.1670687999999,399,494,686,798,10640,25.94225497,111.58669679999998,82.21256418,7045,7626,350.0609665,0.676154842,0.722442832,1.38419257
8,26,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,184.0480684,750.9245149000001,142,227,708,794,7310,-41.60554443,85.92844275,83.29195887,5617,5698,280.0071427,0.245811377,0.90027682,1.110769463
8,27,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,600.461319,791.2615726,546,660,737,845,12312,-71.98167124,114.333262,105.72522260000001,9462,9584,363.8477631,0.38066994299999996,0.8981593370000001,1.1133881909999999
8,28,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,991.8439107999999,801.4349152000001,953,1033,757,843,6880,-32.32567474,88.83902484,75.95185367,5247,5406,280.69343419999996,0.51873028,0.836866957,1.1949330679999999
8,29,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,794.0018719,807.2286537,748,842,761,858,9118,5.645587135,97.01914823,91.45692802,6945,7084,314.97770539999993,0.333729615,0.879675475,1.136782857
8,30,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,431.5247266,839.5218687999999,383,481,783,892,10682,3.473741448,105.53934790000001,97.62158232,8048,8305,347.60512239999997,0.380020487,0.8370000740000001,1.194743025
8,31,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,75.46662705,943.7382650000001,14,136,886,999,13786,-77.39891551,120.2837794,108.0608353,10098,10341,387.5046174,0.43921406,0.8450676309999999,1.183337243
8,32,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,293.0238349,948.4575442,235,353,893,1003,12980,54.93017964,117.86298329999998,102.2825268,9398,9639,369.98989869999997,0.49689837299999995,0.8627114659999999,1.159136096
18,1,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP91_48_B6_CRE_006.tif,233.13984739999998,128.53856399999998,172,291,76,180,12376,60.93032992,122.4562344,87.02780721,8259,8557,359.78888860000006,0.7035103779999999,0.801755294,1.247263357
18,2,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP91_48_B6_CRE_006.tif,1216.955971,178.03202130000003,1175,1260,141,214,6205,-70.06554733,90.26126708,64.77959162,4497,4859,280.1076477,0.696362935,0.720249257,1.3884082359999999
18,3,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP91_48_B6_CRE_006.tif,609.7764441,197.42135530000002,574,647,160,234,5402,-36.75507831,72.58289025,70.31763565,3999,4076,236.9360749,0.247879817,0.895156334,1.117123302
18,4,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP91_48_B6_CRE_006.tif,143.8344188,238.14663509999997,102,186,200,280,6720,52.06505784,82.98303907,78.98870346,5067,5279,276.1431816,0.30651559,0.835010852,1.1975892259999998
18,5,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP91_48_B6_CRE_006.tif,79.77198139,249.5615969,44,116,210,288,5616,12.82580306,78.49813024,67.23036854,4083,4274,250.1076477,0.516216355,0.8202293409999999,1.2191712129999999
18,6,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP91_48_B6_CRE_006.tif,376.3414755,253.4752036,342,414,215,291,5472,36.37103915,75.42165821,68.65120074,4053,4143,239.86500709999999,0.41409884399999997,0.885222976,1.129658885
18,7,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP91_48_B6_CRE_006.tif,654.7401398,310.01597599999997,617,695,278,348,5460,-69.11036999999999,76.76545,66.98887126,4006,4124,244.69343419999998,0.48835777399999997,0.840768005,1.189388742
18,8,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP91_48_B6_CRE_006.tif,770.1800599,318.55938439999994,720,822,267,370,10506,-46.25837352,114.41066979999998,82.34351399,7342,7530,329.8477631,0.6942656540000001,0.848002549,1.179241738
18,9,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP91_48_B6_CRE_006.tif,504.43083679999995,333.17881919999996,455,553,287,384,9506,-49.84083851,103.44749820000001,87.90785244,7063,7227,319.22034610000003,0.527133807,0.870999573,1.1481061890000002
18,10,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP91_48_B6_CRE_006.tif,69.80062756,344.90900310000006,29,107,308,383,5850,45.69165641,77.38170485,68.80139552,4143,4242,244.59292909999996,0.457679819,0.8702359120000001,1.14911369
18,11,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP91_48_B6_CRE_006.tif,319.47583910000003,345.08378960000005,282,359,309,384,5775,-41.41716674,86.27560028,62.79621871,4201,4310,250.7939392,0.685729941,0.8393217390000001,1.191438222
