ImageNumber,ObjectNumber,FileName_TIF,PathName_TIF,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,33,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4055,5576,277,809,209,727,244.0081381,766.1837238,1.139207772,4114,0.638130617,71.85392372,1,0.727223816,0.877803,82.16880351,81.70679286,31.30495168,11.61604299,10.29563014,63.63961031,63.26407274,23.18449015,240.9360749,0.985658726,244.0081381,766.1837238,0,33
1,34,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4088,5183,532,824,461,751,497.0181018,787.4877691,1.154002257,4222,0.368944892,72.14570853,1,0.788732394,0.866549432,75.11679437,77.15568676,33.54101966,11.8031342,10.44030651,70,69.81740006,-36.0277527,243.4802307,0.968261487,497.0181018,787.4877691,0,34
1,35,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4343,6240,157,832,77,754,119.6408013,794.9818098,1.221352929,4542,0.456935925,74.36181374,1,0.69599359,0.818764156,79.27800658,83.24061509,34.05877273,11.97177331,10.63014581,70.36348924,70.51775611,49.64216554,258.1787156,0.956186702,119.6408013,794.9818098,0,35
1,36,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4182,5256,463,849,391,776,427.3799617,812.0989957,1.133497941,4283,0.402642018,72.97045824,1,0.7956621,0.882224805,76.45341814,78.89233169,34.0147027,11.98829689,10.63014581,69.61487463,69.9822119,-28.87245928,244.0660172,0.976418398,427.3799617,812.0989957,0,36
1,37,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4572,6786,244,860,166,773,203.8339895,818.1299213,1.174584565,4668,0.390444159,76.29712444,1,0.673740053,0.85136484,79.92725771,86.092973,35.35533906,12.40567371,11,70.49260568,73.58316048,-11.76255572,259.7766953,0.979434447,203.8339895,818.1299213,0,37
1,38,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,5586,9523,610,888,503,799,553.8825636,849.2081991,1.725132591,6406,0.775322501,84.33454866,1,0.586579859,0.579665589,108.9284844,108.0601684,32.75667871,11.34292241,10.04987562,74.44876335,68.79547599,-72.82642594,347.9898987,0.871995005,553.8825636,849.2081991,0,38
1,39,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,6213,8170,690,908,604,813,647.0465154,859.7633993,1.140414938,6350,0.408437645,88.94176348,1,0.760465116,0.876873818,93.24675069,94.42986816,41.59326869,14.68904816,13,85,85.11434942,-11.14928535,298.391919,0.978425197,647.0465154,859.7633993,0,39
1,40,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4233,5621,504,923,431,846,467.502008,884.4831089,1.112632904,4315,0.512885328,73.41405174,1,0.753068849,0.898769034,79.38938487,78.92401409,32.28002478,12.09063572,10.77032961,68.01673222,68.15238332,27.15250507,243.2792206,0.980996524,467.502008,884.4831089,0,40
1,41,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,3986,5538,225,932,154,854,190.9234822,893.7604114,1.16925493,4095,0.402585416,71.23996649,1,0.719754424,0.855245485,74.69299686,77.64663547,33.13608305,11.72820005,10.29563014,67.2,68.37265655,-14.20300728,242.0071427,0.973382173,190.9234822,893.7604114,0,41
1,42,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4580,6375,97,966,12,891,55.84039301,926.3386463,1.201226789,4744,0.546414105,76.36384691,1,0.718431373,0.832482267,84.54748865,85.58621384,32.64965543,11.93192533,10.77032961,70.90331913,70.8098026,-60.56574118,262.9360749,0.965430017,55.84039301,926.3386463,0,42
1,43,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4027,5360,726,983,646,916,684.5438292,947.4142041,1.129112562,4112,0.551054961,71.60541632,1,0.75130597,0.885651293,78.5737356,79.40403012,31.95309062,11.75355892,10.44030651,65.90235201,65.5673427,-84.4868558,239.0365799,0.979328794,684.5438292,947.4142041,0,43
1,44,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,3931,5568,1037,983,979,887,1008.308064,936.6280845,1.655925716,4394,0.829709011,70.74676424,1,0.705998563,0.603891823,97.81047972,97.29337079,25.49509757,9.33982438,8.485281374,57,54.59743457,-9.490512224,286.0071427,0.89462904,1008.308064,936.6280845,0,44
2,1,sSP67_18_B6_CRE_002.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,5198,7209,293,103,204,22,246.5477107,60.36225471,1.195897455,5408,0.610862522,81.35292959,1,0.721043141,0.836192097,91.92973087,91.92388155,32.984845,12.76241222,11.40175425,71.53164789,72.78414044,62.614835,279.492424,0.961168639,246.5477107,60.36225471,0,1
2,2,sSP67_18_B6_CRE_002.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,8711,13915,391,147,276,26,333.8638503,83.0219263,1.452075795,9450,0.764647193,105.3147173,1,0.626015092,0.688669285,132.746134,128.4562182,39.40812099,14.9617887,13.45362405,88.36697227,85.5481294,-44.32072475,398.6883835,0.921798942,333.8638503,83.0219263,0,2
2,3,sSP67_18_B6_CRE_002.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4885,6232,221,152,145,70,182.6216991,110.0090072,1.12207361,4997,0.531545605,78.86555126,1,0.78385751,0.891207129,85.76144771,87.46427842,36.05551275,13.02466201,11.40175425,73.44563513,72.64249114,-30.13794217,262.4507935,0.977586552,182.6216991,110.0090072,0,3
2,4,sSP67_18_B6_CRE_002.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,5556,7480,140,168,52,83,94.92800576,122.5572354,1.14773277,5688,0.392158147,84.10778151,1,0.742780749,0.871282955,87.86479356,89.69392399,39.81205847,13.84586197,12.08304597,79.88869603,80.82663152,67.99434391,283.0782105,0.976793249,94.92800576,122.5572354,0,4
2,5,sSP67_18_B6_CRE_002.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,6257,8455,293,195,204,100,249.1537478,149.1634969,1.129792424,6390,0.357333702,89.2561473,1,0.740035482,0.885118344,92.49787678,94.42986816,41.86884283,14.76809036,13,85.01578419,86.39086912,-16.4628065,298.0487732,0.979186228,249.1537478,149.1634969,0,5
2,6,sSP67_18_B6_CRE_002.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,13266,22022,504,232,350,89,427.0030152,152.1125433,1.603266702,15099,0.375045273,129.9645944,1,0.602397602,0.623726545,144.0972966,154.870914,41.72529209,16.28089116,15.23154621,133.5649035,133.57913,39.62141203,516.9848481,0.878601232,427.0030152,152.1125433,0,6
