ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_Nuclei_with_XISTpuncta_Count,Children_XIST_CLOUD_Count,Intensity_IntegratedIntensityEdge_Masked_XIST,Intensity_IntegratedIntensity_Masked_XIST,Intensity_LowerQuartileIntensity_Masked_XIST,Intensity_MADIntensity_Masked_XIST,Intensity_MassDisplacement_Masked_XIST,Intensity_MaxIntensityEdge_Masked_XIST,Intensity_MaxIntensity_Masked_XIST,Intensity_MeanIntensityEdge_Masked_XIST,Intensity_MeanIntensity_Masked_XIST,Intensity_MedianIntensity_Masked_XIST,Intensity_MinIntensityEdge_Masked_XIST,Intensity_MinIntensity_Masked_XIST,Intensity_StdIntensityEdge_Masked_XIST,Intensity_StdIntensity_Masked_XIST,Intensity_UpperQuartileIntensity_Masked_XIST,Location_CenterMassIntensity_X_Masked_XIST,Location_CenterMassIntensity_Y_Masked_XIST,Location_CenterMassIntensity_Z_Masked_XIST,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Masked_XIST,Location_MaxIntensity_Y_Masked_XIST,Location_MaxIntensity_Z_Masked_XIST,Number_Object_Number,Parent_Nuclei_X
1,35,10,15,1078,561,1075,556,1076.2,558.4,0.371049195,11,0.786151378,3.568248232,1,0.666666667,2.695060422,4.81200764,4.123105626,1.414213562,1.082842712,1,2,2.973984276,-5.152423234,6.828427125,0.909090909,1,1,0.045639738,0.060028995,0.005584802,0.000534067,0.050169076,0.006790265,0.007415885,0.005704967,0.0060029,0.005813688,0.004943923,0.004943923,0.000507603,0.000755628,0.006881819,1076.167514,558.4382308,0,1076.2,558.4,0,1076,559,0,35,13
1,36,1,1,1060,577,1059,576,1059,576,0,1,0,1.128379167,1,1,inf,0,0,1,1,1,0,0,45,0,1,1,1,0.006027313,0.006027313,0.006027313,0,0,0.006027313,0.006027313,0.006027313,0.006027313,0.006027313,0.006027313,0.006027313,0,0,0.006027313,1059,576,0,1059,576,0,1059,576,0,36,13
1,37,47,81,510,650,501,641,505.9787234,643.8723404,0.986832965,49,0.734462339,7.735777828,1,0.580246914,1.013342719,9.920105412,10,3,1.552891542,1.414213562,5.656854249,6.732274062,46.42339473,24.14213562,0.959183673,1,0,0.146730755,0.352529186,0.00594339,0.001525902,0.217917703,0.011078049,0.011078049,0.00666958,0.007500621,0.007278553,0.005065995,0.005065995,0.001853915,0.001774214,0.009021896,505.8045709,644.0033328,0,505.9787234,643.8723404,0,504,645,0,37,14
1,38,103,168,508,656,496,642,501.5048544,648.9126214,1.238729328,115,0.786758889,11.45179781,1,0.613095238,0.80727886,15.19983979,13.92838828,4,1.932168929,2,9.59737407,9.382259792,28.90398895,40.04163056,0.895652174,1,1,0.221591522,0.819150086,0.00655375,0.001358053,0.190460997,0.01060502,0.011749447,0.006714895,0.007952913,0.008133058,0.004882888,0.004882888,0.001648629,0.001786429,0.009388113,501.6314662,648.770337,0,501.5048544,648.9126214,0,503,646,0,38,14
1,39,27,35,500,655,495,648,496.7037037,651.1851852,0.918867807,29,0.716949865,5.863230143,1,0.771428571,1.088295827,7.136297572,6.708203932,2.236067977,1.338110748,1,4,4.974889529,17.20477905,17.65685425,0.931034483,1,0,0.104585338,0.187167165,0.006057832,0.001091019,0.18476407,0.00888075,0.008987564,0.006536584,0.006932117,0.006881819,0.004882888,0.004882888,0.001341242,0.001282005,0.007995727,496.8882276,651.194603,0,496.7037037,651.1851852,0,497,652,0,39,14
1,40,7,9,84,758,81,755,82,756.2857143,0.530070278,7,0.377964473,2.985410661,1,0.777777778,1.886542296,3.023715784,2.236067977,1.414213562,1.059173366,1,2,2.799416849,90,6.828427125,1,1,1,0.04339666,0.055786987,0.006282903,0.0021973,0.052469727,0.010437172,0.012390327,0.007232777,0.00796957,0.007774472,0.005004959,0.005004959,0.001881403,0.002508225,0.010925461,81.96006564,756.3197484,0,82,756.2857143,0,82,756,0,40,15
1,41,12,16,556,765,552,761,553.5833333,762.5833333,0.838195938,14,0.792665493,3.908820095,1,0.75,1.193038471,5.011098793,4.242640687,2,1.11785113,1,2.683281573,3.055050463,-45,11.24264069,0.857142857,1,1,0.053467609,0.064484622,0.005264362,0.00015259,0.003424093,0.005981537,0.005981537,0.005346761,0.005373719,0.005386434,0.004928663,0.004928663,0.00028171,0.000268795,0.005539024,553.5804544,762.5851869,0,553.5833333,762.5833333,0,553,763,0,41,16
1,42,155,240,103,776,87,761,94.39354839,767.1354839,1.126135515,173,0.419708926,14.04820734,1,0.645833333,0.887992597,14.97306824,15.29705854,6.08276253,2.496519885,2.236067977,13.31280471,13.59043649,-87.26055149,46.83452378,0.895953757,1,1,0.236682687,1.738475641,0.006466011,0.002891584,0.374740936,0.008529793,0.030457009,0.005772748,0.011215972,0.008758678,0.004882887,0.004882887,0.000759979,0.006342496,0.014705882,94.72435072,766.959414,0,94.39354839,767.1354839,0,96,767,0,42,15
1,43,1,1,100,774,99,773,99,773,0,1,0,1.128379167,1,1,inf,0,0,1,1,1,0,0,45,0,1,1,0,0.004898146,0.004898146,0.004898146,0,0,0.004898146,0.004898146,0.004898146,0.004898146,0.004898146,0.004898146,0.004898146,0,0,0.004898146,99,773,0,99,773,0,99,773,0,43,15
1,44,31,50,649,812,639,807,643.9354839,808.3548387,1.184978671,34,0.890933738,6.282549314,1,0.62,0.843897046,9.635192432,9.055385138,2.236067977,1.300230187,1,4,4.375661946,-89.88349318,21.48528137,0.911764706,1,0,0.201678494,0.377706576,0.006153201,0.00512703,0.53902691,0.027710384,0.027710384,0.010614658,0.012184083,0.011078049,0.004882887,0.004882887,0.006956536,0.00671719,0.019134814,644.0716681,808.8763786,0,643.9354839,808.3548387,0,644,810,0,44,17
